word,hiragana,meaning
あっ,あっ,
ああ,ああ,"(interjection) Ah!, Oh!, Alas!, Yes, Indeed, That is correct, Hey!, Yo!, Uh huh, Yeah yeah, Right, Gotcha"
愛,あい,"(noun,) love, affection"
あいかわらず,あいかわらず,"(noun) as ever, as usual, the same"
愛情,あいじょう,"(nouns) love, affection"
アイスクリーム,アイスクリーム,"(noun) ice cream, icecream"
間,あいだ,"(noun) space (between), gap, interval, distance, time (between), pause, break, span (temporal or spatial), stretch, period (while), relationship (between, among), members (within, among); (conjunction) due to, because of"
相手,あいて,"(noun) companion, partner, company, other party, addressee, opponent (sports, etc.)"
アイデア/アイディア,アイデア/アイディア,
あいにく,あいにく,"(nouns) unfortunately, Sorry, but ..."
アイロン,アイロン,(noun) (electric) iron
合う,あう,"(intransitive) to come together, to merge, to unite, to meet, to fit, to match, to suit, to agree with, to be correct, to be profitable, to be equitable; (Godan) (after the -masu stem of a verb) to do ... to each other, to do ... together"
アウト,アウト,(noun) out
青,あお,"(noun) blue, green, green light, black (horse coat color); (prefix) immature, unripe, young"
あおぐ,あおぐ,"(transitive) to fan, to incite, to instigate"
赤,あか,"(noun) red, crimson, scarlet, red-containing colour (e.g. brown, pink, orange), Red (i.e. communist), red light; (noun) red ink (i.e. in finance or proof-reading), (in) the red; (noun,) complete, total, perfect, obvious"
あかちゃん,あかちゃん,"(noun) baby, infant"
明い,あかるい,"(adjective) bright, colourful, cheerful, familiar (with), knowledgeable (about), fair (e.g. politics), clean"
あき,あき,"(noun) space, room, emptiness, gap, opening, vacancy, empty seat, free time, time to spare, disuse, unused thing"
秋,あき,"(noun) autumn, fall"
明らか,あきらか,"(noun) obvious, evident, clear, plain"
あきらめる,あきらめる,"(transitive) to give up, to abandon"
あきれる,あきれる,"(intransitive) to be amazed, to be shocked"
開く,あく,"(transitive) to open (e.g. a bank-account, festival, etc.); (intransitive) to spread out, to open up (flower bud, umbrella, etc.), to widen (gap, distance, width), to hold, to give (party, conference, etc.)"
空く,あく,"(intransitive) to become less crowded, to thin out, to get empty, to be hungry"
あくしゅ,あくしゅ,(noun) handshake
アクセサリー,アクセサリー,(noun) accessory
アクセント,アクセント,(noun) accent
あくび,あくび,"(noun) yawn, yawning (and stretching)"
あくまで,あくまで,"(adverb) to the end, to the bitter end, to the last, stubbornly, persistently, to the utmost"
明くる~,あくる~,
開ける,あける,"(transitive) to open (a door, etc.), to unwrap (e.g. parcel, package), to open (for business, etc.), to empty, to clear out, to make space, to make room; (intransitive) to dawn, to grow light, to end"
明ける,あける,"(transitive) to open (a door, etc.), to unwrap (e.g. parcel, package), to open (for business, etc.), to empty, to clear out, to make space, to make room; (intransitive) to dawn, to grow light, to end"
あげる (=やる),あげる (=やる),
あこがれる,あこがれる,"(intransitive) to long for, to yearn after, to admire, to be attracted by"
朝,あさ,(noun) morning
あさって,あさって,(noun) day after tomorrow
あし,あし,"(noun) foot, leg, gait, pace, bottom structural component (i.e. radical) of a kanji, means of transportation"
味,あじ,"(noun) flavor, flavour, taste, charm, style, experience; (adjectival) smart, clever, witty, strange"
あした,あした,(noun) morning
足元,あしもと,"(noun) at one's feet, underfoot, gait, pace, step; (pronoun) you, thou"
明日,あす,(noun) tomorrow
あずかる,あずかる,"(transitive) to look after, to take care of, to keep, to hold on to, to keep in custody, to take charge of, to be entrusted with, to receive on deposit, to reserve (judgment), to leave undecided"
あせ,あせ,"(noun) sweat, perspiration, moisture, condensation"
あそこ,あそこ,"(nouns) there (place physically distant from both speaker and listener), over there, that place, yonder; (noun) genitals, that far (something psychologically distant from both speaker and listener), that much, that point"
遊び,あそび,"(noun,) playing, play (margin between on and off, gap before pressing button or lever has an effect)"
あたためる,あたためる,"(transitive) to warm, to heat"
頭,あたま,(counter) counter for large animals (e.g. head of cattle)
新しい,あたらしい,(adjective) new
あたり,あたり,"(noun) on the bank of, by the side of (e.g. a river, pond), (in the) neighbourhood, neighborhood, vicinity, nearby"
あたりまえ,あたりまえ,"(nouns) natural, reasonable, obvious, usual, common, ordinary"
あちこち,あちこち,"(pronoun) here and there; (noun) to get things in the wrong order (back to front), to become muddled up"
あひら,あひら,
あっち,あっち,"(nouns) that way (direction distant from both speaker and listener), over there, yonder, that one (something physically distant from both speaker and listener, or something not visible but known by both speaker and listener), that; (pronoun) that person (someone physically distant from both speaker and listener, or someone not present but known by both speaker and listener), there (place distant from both speaker and listener), over there, foreign country (esp. a Western nation)"
あちらこちら,あちらこちら,"(pronoun) here and there; (noun) to get things in the wrong order (back to front), to become muddled up"
厚かましい,あつかましい,"(adjective) impudent, shameless, brazen"
集まり,あつまり,"(noun) gathering, meeting, assembly, collection"
集める,あつめる,"(transitive) to collect, to assemble, to gather"
あてな,あてな,"(noun) (addressee's) name, (recipient's) name and address"
あてはまる,あてはまる,"(Godan) to apply (a rule), to be applicable, to come under (a category), to fulfill"
あてはめる,あてはめる,"(transitive) to apply, to adapt"
あてる,あてる,"(transitive) to hit, to expose, to apply (e.g. patch), to allot, to call on someone (e.g. in class), to guess (an answer), to make a hit (e.g. in a lottery)"
後,あと,"(nouns) behind, rear, after, later, after one's death, remainder, the rest, descendant, successor, heir, past, previous; (adverbial) more (i.e. five more minutes)"
あと,あと,"(noun) trace, tracks, mark, sign, remains, ruins, scar"
あと,あと,"(nouns) behind, rear, after, later, after one's death, remainder, the rest, descendant, successor, heir, past, previous; (adverbial) more (i.e. five more minutes)"
あな,あな,"(noun,) hole, deficit, shortage, missing person (in a team, meeting, etc.), vacancy, opening, flaw, profitable place (or item, etc.) not well known by others, upset victory (with a large payoff), pit (of a theater), hiding place, underbelly (of society, etc.)"
アナウンサー,アナウンサー,(noun) announcer
あなた,あなた,"(nouns) you (referring to someone of equal or lower status), dear (what a wife calls a husband)"
兄,あに,(noun) older brother
姉,あね,"(noun) older sister, elder sister"
あの,あの,"(pre-noun) that (someone or something distant from both speaker and listener, or situation unfamiliar to both speaker and listener)"
アパート,アパート,"(noun) apartment building, apartment block, apartment house, apartment"
浴びる,あびる,"(transitive) to bathe, to bask in the sun, to shower"
油,あぶら,(noun) oil
アフリカ,アフリカ,(nouns) Africa
あぶる,あぶる,"(transitive) to warm (i.e. one's hands over a fire), to dry, to scorch, to broil, to toast, to grill"
あふれる,あふれる,"(intransitive) to overflow, to brim over, to flood"
あむ,あむ,"(transitive) to knit, to plait, to braid, to compile (anthology, dictionary, etc.), to edit"
雨,あめ,(noun) rain
アメリカ,アメリカ,(noun) America
あやまり,あやまり,"(noun) error, mistake, slip, bug"
あら,あら,"(adverb) almost, roughly, approximately"
新た,あらた,"(noun) new, fresh, novel; (adverb) newly, freshly, re-"
あらゆる,あらゆる,"(pre-noun) all, every"
あらわす,あらわす,"(transitive) to write, to publish"
ありがとう,ありがとう,(Expressions) Thank you
あるいは,あるいは,"(Expressions) or, possibly"
歩く,あるく,(intransitive) to walk
アルバイト,アルバイト,"(noun) part-time job, side job; (noun) albite"
アルバム,アルバム,(noun) album
あれ,あれ,"(noun) that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly), that person (used to refer to one's equals or inferiors), over there; (noun) down there (i.e. one's genitals), period, menses; (interjection) hey (expression of surprise or suspicion), eh?; (noun) that (something mentioned before which is distant psychologically or in terms of time)"
あれこれ,あれこれ,"(pronoun) one thing or another, this and that, this or that"
あわせる,あわせる,"(transitive) to match (rhythm, speed, etc.), to join together, to unite, to combine, to add up, to face, to be opposite (someone), to compare, to check with, to cause to meet (e.g. an unpleasant fate), to place together, to connect, to overlap, to mix, to combine, to put blade to blade, to fight"
あん,あん,"(noun,) idea, plan, thought, draft plan, motion, rough copy, expectation"
安易,あんい,"(noun) easy, simple, easy-going"
あんき,あんき,"(noun) memorization, memorisation, learning by heart"
安心,あんしん,"(noun) relief, peace of mind"
安全,あんぜん,"(noun) safety, security"
安定,あんてい,"(noun) stability, equilibrium"
アンテナ,アンテナ,"(noun) antenna, person who collects information or opinions"
あんな,あんな,"(pre-noun) such (about something or someone distant from both speaker and listener, or about a situation unfamiliar to both speaker and listener), so, that, sort of"
あんない,あんない,"(noun) information, guidance, leading; (noun) to guide, to show (around), to conduct"
あんなに,あんなに,"(Expressions) to that extent, to that degree"
胃,い,"(noun) stomach, Chinese ""stomach"" constellation (one of the 28 mansions)"
~位,~い,
いい,いい,"(adjective) good, excellent, fine, nice, pleasant, agreeable, sufficient (can be used to turn down an offer), ready, prepared, profitable (e.g. deal, business offer, etc.), beneficial, OK"
いえ,いえ,"(noun) house, residence, dwelling, family, household, lineage, family name"
言い付ける,いいつける,"(transitive) to tell (to do), to order, to charge, to direct, to tell on (someone), to report, to often say"
委員,いいん,(noun) committee member
言う,いう,"(Godan) to say, to call (i.e. to give a name)"
家,いえ,"(noun) house, residence, dwelling, family, household, lineage, family name"
以下,いか,"(noun) not exceeding, and downward, ... and below, below (e.g. standard), under (e.g. a level), the below-mentioned, the following, the rest"
意外,いがい,"(noun) unexpected, surprising"
いかが,いかが,"(adverb) how, in what way, how about"
医学,いがく,"(noun) medical science, medicine"
いき,いき,"(noun,) bound for ...; (noun) going (to)"
息,いき,"(noun) breath, breathing, tone, mood"
いぎ,いぎ,"(noun) meaning, significance"
勢い,いきおい,"(noun) force, vigor, vigour, energy, spirit, life, influence, authority, power, might, impetus, momentum, course (of events); (adverbial) naturally, necessarily"
生きる,いきる,"(intransitive) to live, to exist"
いく~,いく~,
行く,いく,"(intransitive) to go, to proceed, to take place, to die, to pass away; (auxiliary) to continue"
育児,いくじ,"(noun) childcare, nursing, upbringing"
いくら~ても,いくら~ても,
池,いけ,(noun) pond
いけない,いけない,"(Expressions) wrong, not good, of no use, hopeless, past hope, must not do"
意見,いけん,"(nouns) opinion, view"
以後,いご,"(noun) after this, from now on, hereafter, thereafter, since (verb) (after -te form of verb), after (time), since (then)"
イコール,イコール,"(adjectival) equal, the equality sign (=); (Expressions) equals (A equals B)"
石,いし,"(noun) stone, gem, jewel"
医師,いし,"(nouns) doctor, physician"
意思,いし,"(noun) intention, purpose"
いじ,いじ,"(noun) maintenance, preservation, improvement"
意識,いしき,"(noun) consciousness, awareness, sense, mano-vijnana (mental consciousness, cognizer of sensory information)"
いじめる,いじめる,"(transitive) to tease, to torment, to persecute, to chastise"
医者,いしゃ,"(noun) (medical) doctor, physician"
いじょう,いじょう,"(noun) strangeness, abnormality, disorder"
いずみ,いずみ,"(noun) spring, fountain"
いずれ,いずれ,"(nouns) where, which, who, anyway, anyhow, at any rate, sooner or later, eventually, at some future date or time"
以前,いぜん,"(noun) ago, since, before, previous"
板,いた,"(noun) board, plank, sheet (of metal), plate (of glass), pane, slab, cutting board, chopping board, stage (i.e. at a theatre)"
いたい,いたい,"(adjective) painful, sore; (suffix) exceeding"
いだい,いだい,(noun) greatness
いだく,いだく,"(transitive) to embrace, to hold in the arms (e.g. a baby), to hug; (transitive) to harbour (e.g. grudge) (harbor), to bear (e.g. a grudge), to entertain (e.g. suspicion); (Godan) to sleep with; (Godan) to sit on eggs"
いたずら,いたずら,"(noun) tease, prank, trick, practical joke, mischief"
いただきます,いただきます,(Expressions) expression of gratitude before meals
いただく,いただく,"(transitive) to receive, to get, to accept, to take, to buy, to eat, to drink, to be crowned with, to wear (on one's head), to have (on top), to have (as one's leader), to live under (a ruler), to install (a president)"
いたみ,いたみ,"(noun) pain, ache, sore, grief, distress"
~いち,（日本一）,
位置,いち,"(noun) place, situation, position, location"
いちおう,いちおう,"(adverb) once, tentatively, in outline, for the time being, just in case"
一時,いちじ,"(noun) moment, time"
いちだんと,いちだんと,"(adverb) greater, more, further, still more"
一度,いちど,"(adverbial) once, one time, on one occasion; (adverbial) temporarily, for a moment; (adverbial) one degree, one tone, one musical interval"
一度に,いちどに,(adverb) all at once
市場,いちば,"(noun) (town) market, (the) marketplace"
一番,いちばん,"(adverbial) best, first, number one, game, round, bout, fall, event (in a meet)"
一流,いちりゅう,"(nouns) first-class, top grade, school (of art), foremost, top-notch, unique"
いつ,いつ,"(noun) being comfortable, relaxing"
五日,いつか,"(noun) the fifth day of the month, five days"
いつか,いつか,"(adverb) sometime, someday, one day, some time or other, the other day, in due course, in time"
一家,いっか,"(noun) a house, a home, a family, a household, one's family, one's folks, a style"
一昨年,いっさくねん,(noun) year before last
一種,いっしゅ,"(noun) species, kind, variety"
いっしゅん,いっしゅん,"(noun) moment, instant"
いっしょ,いっしょ,"(nouns) together, at the same time, same, identical"
一生,いっしょう,"(nouns) whole life, a lifetime, all through life, one existence, a generation, an age, the whole world, the era; (nouns) (the only, the greatest, etc.) of one's life"
いっしょうけんめい,いっしょうけんめい,"(noun) very hard, with utmost effort, with all one's might, for dear life"
いっせい,いっせい,"(noun) simultaneous, all at once"
いっそう,いっそう,"(nouns) much more, still more, all the more, (would) rather, sooner, might as well; (noun) single layer (or storey, etc.)"
一体,いったい,"(nouns) ...the heck (e.g. ""what the heck?""), ...in the world (e.g. ""why in the world?""), ...on earth (e.g. ""who on earth?""); (noun) one object, one body, unity, one form, one style, one Buddhist image (or carving, etc.); (adverb) generally, in general"
いったん,いったん,"(adverb) once, for a moment, temporarily; (noun) one morning"
いっち,いっち,"(noun) coincidence, agreement, union, match, conformity, consistency, cooperation"
五つ,いつつ,(noun) five
一定,いってい,"(adjectival) fixed, settled, constant, definite, uniform, regularized, regularised, defined, standardized, standardised, certain, prescribed"
いっていらっしゃい,いっていらっしゃい,
いってらっしゃい,いってらっしゃい,"(interjection) have a good day, take care, see you"
いってまいります,いってまいります,"(Expressions) So long (lit:""(I'm) going and coming back""), I'm off, see you later"
いってきます,いってきます,"(Expressions) I'm off, see you later"
